Nom de la gare,Code UIC complet,Code postal,Segmentation DRG 2021,Total Voyageurs 2020,Total Voyageurs + Non voyageurs 2020,Total Voyageurs 2019,Total Voyageurs + Non voyageurs 2019,Total Voyageurs 2018,Total Voyageurs + Non voyageurs 2018,Total Voyageurs 2017,Total Voyageurs + Non voyageurs 2017,Total Voyageurs 2016,Total Voyageurs + Non voyageurs 2016,Total Voyageurs 2015,Total Voyageurs + Non voyageurs 2015
Saint-Pierre-du-Vauvray,87415646,27430,C,0,0,2061,2061,2637,2637,2160,2160,1598,1598,1845,1845
Héricy,87682435,77850,C,30934,30934,56569,56569,57252,57252,58225,58225,58087,58087,57934,57934
Saint-Pierre-en-Faucigny,87746313,74800,C,64995,64995,75269,75269,67226,67226,68870,68870,57520,57520,47984,47984
Igny,87393561,91430,B,248827,248827,454785,454785,462240,462240,474176,474176,475809,475809,475777,475777
Saint-Quentin en Yvelines - Montigny-le-Bretonneux,87393843,78180,B,6368898,6368898,11640712,11640712,12196000,12196000,12912173,12912173,13381659,13381659,13789333,13789333
Illiers-Combray,87394437,28120,B,152054,190068,166364,207955,153755,192194,148320,185400,143108,178885,146785,183481
Saint-Rambert-en-Bugey,87743740,1230,C,9492,9492,13428,13428,12328,12328,13544,13544,10630,10630,13167,13167
Ingersheim Cité Scolaire,87303875,68040,C,18930,18930,19495,19495,20227,20227,26196,26196,29867,29867,31209,31209
Saint-Roch,87313080,80000,C,49519,49519,79609,79609,65454,65454,66779,66779,71955,71955,71790,71790
Isles - Armentières - Congis,87116616,77440,C,56630,56630,103553,103553,103680,103680,103988,103988,102504,102504,100521,100521
Saint-Sulpice-Laurière,87592345,87370,C,29755,29755,37213,37213,33281,33281,39036,39036,46898,46898,48585,48585
Jacques Monod la Demi-Lieue,87413716,76290,C,4865,4865,7934,7934,5428,5428,8120,8120,8253,8253,10051,10051
Saint-Vit,87718320,25410,B,97734,122168,125721,157152,117759,147199,156715,195894,204056,255070,205485,256856
Javel,87393066,75015,B,1961538,1961538,3586477,3586477,3621602,3621602,3667671,3667671,3643685,3643685,3602308,3602308
Saint-Yrieix-la-Perche,87592824,87500,C,12447,12447,25400,25400,19712,19712,26933,26933,27333,27333,27730,27730
Joigny-sur-Meuse,87172031,8700,C,13973,13973,14007,14007,14796,14796,16490,16490,19924,19924,21861,21861
Sallanches - Combloux - Megève,87746438,74700,B,264387,330484,347272,434090,311327,389159,329130,411412,309005,386257,307792,384740
Juan les Pins,87757666,6160,B,452532,565665,811048,1013810,674569,843212,728265,910332,599898,749873,640609,800762
Salomé,87342451,59496,C,9200,9200,12839,12839,13829,13829,16221,16221,15485,15485,13952,13952
Kerhostin,87476432,56170,C,1838,1838,1782,1782,1411,1411,1572,1572,1257,1257,1551,1551
Salon-de-Provence,87753764,13300,B,157387,196734,251198,313998,213132,266415,224561,280702,210354,262942,225915,282394
Kuntzig,87191312,57110,C,1135,1135,929,929,622,622,561,561,1398,1398,1865,1865
Sarcelles - Saint-Brice,87276386,95200,B,3083147,3083147,5638420,5638420,5684113,5684113,5658290,5658290,5628043,5628043,5570586,5570586
La Basse Indre - Saint-Herblain,87481069,44610,C,22448,22448,35569,35569,24395,24395,28283,28283,30153,30153,25242,25242
Sausset-les-Pins,87753558,13960,C,34153,34153,69283,69283,63931,63931,80008,80008,81718,81718,88608,88608
La Charité-sur-Loire,87696195,58400,B,124811,156014,134915,168644,134967,168709,154522,193152,151087,188859,158355,197943
Savenay,87481838,44260,B,376887,471109,575867,719833,524832,656040,514203,642753,473277,591597,449634,562043
La Ciotat - Ceyreste,87751784,13600,B,369263,461579,539722,674653,504549,630687,541933,677416,485870,607338,468275,585343
Savennières - Béhuard,87484329,49170,C,29797,29797,49522,49522,49260,49260,54847,54847,56299,56299,56626,56626
La Défense,87382218,92800,B,16539035,16539035,30264172,30264172,29752335,29752335,29470800,29470800,28638151,28638151,28392626,28392626
Saverdun,87611368,9700,B,95387,119234,136778,170973,128348,160435,171063,213828,154780,193475,156632,195790
La Fresnais,87478081,35111,C,9665,9665,15788,15788,12175,12175,14017,14017,14777,14777,14727,14727
Schopperten,87215483,67260,C,16907,16907,12720,12720,14462,14462,17754,17754,20846,20846,22452,22452
La Mothe-Achard,87486423,85150,C,38867,38867,57654,57654,50511,50511,52838,52838,50390,50390,47771,47771
Sens,87683003,89100,B,778705,973381,1149961,1437451,1098717,1373396,1187027,1483784,1159979,1449974,1204338,1505422
La Plaine Stade de France - Saint-Denis - Aubervilliers,87164798,93200,B,8616895,8616895,15759876,15759876,15486341,15486341,15307926,15307926,14819294,14819294,14298405,14298405
Servas - Lent,87723791,1960,C,47446,47446,66259,66259,67559,67559,75840,75840,71460,71460,72225,72225
La Porcherie,87592295,87380,C,3009,3009,3740,3740,2613,2613,2569,2569,4509,4509,4962,4962
Sète,87773200,34200,A,700298,875372,956935,1196168,986790,1233488,1133128,1416411,1090965,1363707,1049464,1311831
La Possonnière,87484337,49170,B,59342,59342,113151,113151,109779,109779,106305,106305,96400,96400,93634,93634
Sèvres - Ville-d'Avray,87382341,92310,B,1426179,1426179,2607842,2607842,2544443,2544443,2500917,2500917,2413013,2413013,2063088,2063088
La Rochelle,87485003,17000,A,1490951,1863689,2235983,2794979,1984267,2480334,2068356,2585445,1771473,2214341,1886734,2358417
Simandre-sur-Suran,87743336,1250,C,15407,15407,18630,18630,14966,14966,14491,14491,14828,14828,12713,12713
La Seyne - Six-Fours,87755264,83500,B,209148,261435,320849,401061,293355,366694,325938,407423,296391,370489,279740,349675
Solignac - Le Vigen,87592246,87110,C,1044,1044,1752,1752,1234,1234,1900,1900,2047,2047,2572,2572
La Tour-de-Salvagny,87721548,69890,B,104749,104749,126387,126387,127182,127182,130905,130905,114729,114729,94063,94063
Somain,87345314,59490,B,234747,293434,377659,472074,342640,428300,361167,451458,351260,439075,370685,463357
La Tricherie,87575183,86490,C,17968,17968,21736,21736,20676,20676,18790,18790,17366,17366,19769,19769
Sospel,87756825,6380,C,28644,28644,57160,57160,52227,52227,56821,56821,50748,50748,46369,46369
La Verrière,87393256,78320,B,2264112,2264112,4138664,4138664,4420623,4420623,4756541,4756541,5019988,5019988,5270556,5270556
Souppes - Château-Landon,87684217,77460,B,382182,382182,691753,691753,674162,674162,684942,684942,656972,656972,643835,643835
La Ville Gozet,87641191,3100,C,635,635,453,453,321,321,328,328,411,411,777,777
Staffelfelden,87182691,68850,C,50329,50329,68825,68825,68939,68939,68285,68285,64665,64665,67839,67839
La Villette Saint-Prest,87394171,28300,C,68967,86209,93032,116291,86348,107936,92946,116183,96104,120130,105602,132002
Steinbourg,87212209,67790,C,62913,62913,61815,61815,62493,62493,67964,67964,75710,75710,78504,78504
L'Abbaye,87113886,93190,B,468347,468347,856326,856326,869325,869325,878787,878787,872604,872604,865256,865256
Strazeele,87286203,59270,C,39005,39005,49897,49897,47075,47075,49485,49485,45932,45932,47677,47677
Labenne,87673293,40530,C,26661,26661,40509,40509,30245,30245,30003,30003,27794,27794,27985,27985
Surdon,87444562,61570,C,42455,42455,66411,66411,56612,56612,63283,63283,65125,65125,55804,55804
Laboissière - Le Déluge,87313676,60570,C,25990,25990,27855,27855,25292,25292,23832,23832,21395,21395,17744,17744
Surgères,87485227,17700,B,257923,322403,372949,466186,350762,438453,370151,462689,332363,415453,361287,451609
Lacapelle-Viescamp,87645150,15150,C,18,18,51,51,31,31,9,9,16,16,32,32
Taverny,87276634,95150,B,876446,876446,1602736,1602736,1641770,1641770,1616718,1616718,1578665,1578665,1535157,1535157
Lafarge,87592733,87260,C,2755,2755,4155,4155,4876,4876,5445,5445,6098,6098,7759,7759
Tenay - Hauteville,87743757,1970,C,21893,21893,29469,29469,34144,34144,34113,34113,30560,30560,32579,32579
Laguépie,87613471,82250,C,4219,4219,5671,5671,4258,4258,4525,4525,3845,3845,4188,4188
Tergnier,87296442,2700,B,367899,459874,445816,557270,453397,566747,490504,613130,444261,555327,423860,529826
Lalinde,87584441,24150,C,14034,14034,14540,14540,22985,22985,22235,22235,20266,20266,22561,22561
Thann,87182568,68800,B,107817,134772,163382,204227,163921,204901,166720,208400,162257,202822,170131,212664
Lamure-sur-Azergues,87721860,69870,C,15377,15377,25077,25077,21666,21666,22679,22679,26273,26273,32362,32362
Théoule-sur-Mer,87757583,6590,C,12268,12268,14349,14349,10721,10721,10507,10507,16923,16923,18791,18791
Lancerf,87473850,22860,C,367,367,446,446,358,358,134,134,325,325,339,339
Thiaville-sur-Meurthe,87141432,54519,C,246,246,923,923,2262,2262,3181,3181,1957,1957,1724,1724
Landébia,87473264,22130,C,1847,1847,2057,2057,3078,3078,3324,3324,3656,3656,5031,5031
Thiers,87734475,63300,C,33449,33449,43341,43341,41587,41587,49162,49162,49971,49971,57483,57483
Langon,87582775,33210,B,533009,666261,768352,960440,701339,876674,678569,848212,627862,784828,641240,801550
Thourotte,87276741,60150,C,29235,29235,45937,45937,43935,43935,53099,53099,50880,50880,58107,58107
Laroquebrou,87645135,15150,C,2638,2638,3527,3527,3546,3546,3815,3815,4322,4322,5164,5164
Tonneins,87586651,47400,B,127587,159484,177676,222095,153595,191994,167831,209789,163938,204923,173850,217313
Lathus-Saint-Rémy,87575498,86390,C,579,579,822,822,537,537,611,611,799,799,1099,1099
Tonnerre,87713198,89700,B,85735,107169,134669,168337,127065,158832,137259,171573,128762,160953,137717,172146
Lavoûte-sur-Loire,87734707,43800,C,8303,8303,8833,8833,7061,7061,6330,6330,9611,9611,9780,9780
Toulon,87755009,83000,A,2524370,3555450,3668509,5166915,3534118,4977632,4122788,5806743,3835728,5402434,3813793,5371539
Le Bourget T11,87697359,93350,B,1313026,1313026,2400737,2400737,2456747,2456747,1246435,1246435,0,0,0,0
Tournay,87671172,65190,C,13448,13448,14364,14364,14349,14349,18993,18993,18808,18808,21615,21615
Le Bras de Fer,87681395,91000,B,1606639,1606639,2937587,2937587,2961835,2961835,2997353,2997353,2976043,2976043,2937923,2937923
Trélazé,87701532,49800,C,30106,30106,44256,44256,1684,1684,0,0,0,0,0,0
Le Chénay Gagny,87113522,93220,B,1787681,1787681,3268600,3268600,3277376,3277376,3294408,3294408,3248342,3248342,3187642,3187642
Trémolat,87584474,24510,C,2828,2828,1260,1260,3224,3224,4480,4480,4644,4644,4761,4761
Le Grau-du-Roi,87775866,30240,C,127601,127601,59262,59262,53899,53899,57017,57017,49797,49797,59445,59445
Trentels Ladignac,87586446,47140,C,746,746,850,850,585,585,1057,1057,501,501,316,316
Le Meux - Lacroix-Saint-Ouen,87276733,60880,C,26071,26071,39014,39014,32022,32022,34707,34707,34528,34528,33071,33071
Tricot,87313353,60420,C,41557,41557,46366,46366,49591,49591,55217,55217,56236,56236,56762,56762
Le Molay-Littry,87444083,14330,C,16827,16827,21046,21046,19002,19002,21613,21613,23463,23463,23771,23771
Triel-sur-Seine,87381806,78510,B,254048,254048,463897,463897,505248,505248,553796,553796,594291,594291,585508,585508
Le Plessis Chenet,87681627,91830,C,22022,22022,40266,40266,41814,41814,43875,43875,45020,45020,45980,45980
Turckheim,87182352,68230,C,28530,28530,47400,47400,40872,40872,49480,49480,49115,49115,50446,50446
Le Theil - La Rouge,87396333,61260,C,13117,13117,20229,20229,18549,18549,18680,18680,20037,20037,21490,21490
Urmatt,87214635,67280,B,95408,119260,125815,157269,118873,148591,130479,163099,132751,165939,133884,167355
Le Toec,87353573,31000,C,5366,5366,5295,5295,3553,3553,3025,3025,3435,3435,3717,3717
Vaires - Torcy,87116293,77360,B,1250818,1250818,2286419,2286419,2271942,2271942,2264107,2264107,2214025,2214025,2154317,2154317
Le Tréport - Mers-les-Bains,87317529,76470,C,28429,28429,34731,34731,40868,40868,49062,49062,50976,50976,56461,56461
Valence d'Agen,87611863,82400,C,49269,49269,60291,60291,53380,53380,60396,60396,64647,64647,70260,70260
Leforest,87345223,62790,B,186332,232915,270847,338559,239341,299177,248146,310182,224614,280768,222919,278649
Valleiry,87745414,74520,C,22636,22636,41979,41979,33024,33024,36046,36046,20449,20449,24507,24507
Lens,87345025,62300,B,995465,1327286,1603634,2138178,1495770,1994360,1649166,2198889,1603612,2138149,1599323,2132431
Vannes,87476606,56000,A,1088186,1360233,1599913,1999891,1412592,1765740,1443182,1803977,1324949,1656186,1322859,1653574
Lépin-le-Lac - La Bauche,87741439,73610,C,40970,40970,56105,56105,55118,55118,63877,63877,53151,53151,60382,60382
Varennes-sur-Allier,87696351,3150,C,58073,58073,96115,96115,81562,81562,94465,94465,82671,82671,83620,83620
Les Ardoines,87492108,94400,B,1417399,1417399,2591321,2591321,2586453,2586453,2578806,2578806,2525837,2525837,2462788,2462788
Varilhes,87611327,9120,C,22937,22937,44325,44325,33531,33531,43364,43364,45531,45531,50304,50304
Les Fontinettes,87317305,62100,C,14946,14946,30715,30715,25605,25605,26935,26935,24662,24662,22148,22148
Vaumoise,87271601,2600,C,2191,2191,961,961,609,609,886,886,892,892,621,621
Les Grésillons,87272146,92230,B,1506311,1506311,2754273,2754273,2688760,2688760,2643726,2643726,2550407,2550407,2446842,2446842
Vauvert,87775817,30600,C,13909,13909,3329,3329,2447,2447,2149,2149,1634,1634,1528,1528
Les Islettes,87175711,55120,C,28,28,83,83,103,103,26,26,40,40,154,154
Vélines,87584177,24230,C,32254,32254,30900,30900,46346,46346,50005,50005,48680,48680,53795,53795
Les Laumes Alésia,87713115,21150,B,136224,170280,167251,209064,159684,199605,172023,215028,156184,195231,166751,208438
Vendenheim,87212118,67550,B,79654,79654,123981,123981,109019,109019,101834,101834,116758,116758,118122,118122
Les Martres-de-Veyre,87734178,63730,B,127362,159203,151831,189789,147413,184266,164243,205303,165126,206407,167838,209797
Vermenton,87683664,89270,C,4665,4665,6541,6541,5255,5255,4919,4919,4151,4151,4579,4579
Les Praz de Chamonix,87746826,74400,C,4392,4392,5418,5418,6842,6842,6363,6363,5002,5002,5497,5497
Vernaison,87722264,69390,C,50592,50592,85053,85053,69916,69916,81078,81078,70150,70150,75963,75963
Les Quatre-Routes-du-Lot,87594564,46110,C,1101,1101,1358,1358,1383,1383,1479,1479,1638,1638,2784,2784
Versailles Chantiers,87393009,78000,B,12528752,12528752,22909416,22909416,23336771,23336771,23974181,23974181,24132107,24132107,24191310,24191310
Les Sables Blancs,87476267,56340,C,335,335,364,364,225,225,173,173,230,230,207,207
Versigny,87296608,2800,C,1745,1745,2249,2249,2810,2810,4263,4263,6093,6093,6698,6698
Lesseux - Frapelle,87144329,88490,C,0,0,0,0,3,3,37,37,389,389,344,344
Vertou,87481408,44120,B,47422,47422,89228,89228,103231,103231,120465,120465,104147,104147,90625,90625
Lézignan-Corbières,87615112,11200,C,71123,71123,97511,97511,79030,79030,101833,101833,93211,93211,90191,90191
Vézelise,87141606,54330,C,3218,3218,4113,4113,6844,6844,10559,10559,16887,16887,20218,20218
Liart,87172544,8290,C,203,203,274,274,24,24,10,10,7,7,22,22
Viaduc Sainte-Marie,87746735,74310,C,536,536,1226,1226,910,910,1057,1057,992,992,847,847
Liesle,87718130,25440,C,8911,8911,7137,7137,4209,4209,5420,5420,7003,7003,8435,8435
Vic-sur-Cère,87645440,15800,C,6865,6865,9244,9244,10451,10451,11805,11805,11997,11997,12489,12489
Lille CHR,87109306,59000,B,192628,240785,287018,358773,239606,299508,239655,299569,219877,274847,216828,271035
Vierzon,87576009,18100,B,583117,728896,871397,1089246,794124,992655,865479,1081849,856521,1070652,885793,1107242
Limeyrat,87595553,24210,C,542,542,1221,1221,58,58,283,283,935,935,674,674
Viévola,87756890,6430,C,76,76,134,134,60,60,118,118,115,115,159,159
Limoux,87615161,11300,C,7083,7083,7516,7516,4776,4776,6259,6259,7119,7119,6786,6786
Vigeois,87594218,19410,C,6736,6736,7963,7963,7841,7841,8161,8161,9614,9614,8686,8686
L'Isle-d'Abeau,87761239,38080,B,159510,199388,228996,286245,201520,251901,211322,264152,197159,246449,229555,286944
Villabé,87681619,91100,B,111995,111995,204775,204775,213167,213167,222934,222934,229174,229174,234474,234474
L'Isle-sur-le-Doubs,87184572,25250,C,86730,108413,106385,132981,87144,108930,89119,111399,83533,104416,92421,115527
Villefort,87775197,48800,C,8837,8837,11344,11344,9878,9878,10287,10287,9444,9444,9035,9035
Liverdun,87141069,54460,C,21124,21124,29876,29876,27533,27533,24551,24551,20434,20434,18548,18548
Villeneuve-la-Guyard,87683102,89340,B,117425,146781,155131,193913,109228,136535,129110,161388,130287,162859,147245,184056
Livry-sur-Seine,87682401,77000,C,61409,61409,112341,112341,107957,107957,104859,104859,98867,98867,93577,93577
Villers-les-Pots,87713339,21130,C,1079,1079,976,976,1361,1361,6991,6991,6220,6220,6141,6141
Longroy - Gamaches,87313817,76260,C,948,948,744,744,1346,1346,2093,2093,2731,2731,3376,3376
Villers-sur-Mer,87444398,14640,C,3706,3706,6889,6889,5775,5775,6951,6951,6601,6601,6884,6884
