Nom de la gare,Code UIC complet,Code postal,Segmentation DRG 2021,Total Voyageurs 2020,Total Voyageurs + Non voyageurs 2020,Total Voyageurs 2019,Total Voyageurs + Non voyageurs 2019,Total Voyageurs 2018,Total Voyageurs + Non voyageurs 2018,Total Voyageurs 2017,Total Voyageurs + Non voyageurs 2017,Total Voyageurs 2016,Total Voyageurs + Non voyageurs 2016,Total Voyageurs 2015,Total Voyageurs + Non voyageurs 2015
Longuerue - Vieux-Manoir,87411447,76750,C,7437,7437,11158,11158,11120,11120,9873,9873,11893,11893,13770,13770
Villiers Montbarbin,87116749,77580,C,35120,35120,64214,64214,61424,61424,58900,58900,55391,55391,51920,51920
Longuyon,87194274,54260,C,38069,38069,56106,56106,45700,45700,53746,53746,54140,54140,73542,73542
Viroflay Rive Droite,87382887,78220,B,1475578,1475578,2698201,2698201,2147701,2147701,1720725,1720725,1350015,1350015,1427232,1427232
Lothiers,87597104,36350,C,45,45,388,388,752,752,980,980,1088,1088,955,955
Viry-Noureuil,87297051,2300,C,195,195,280,280,390,390,278,278,549,549,1064,1064
Lourches,87343475,59172,C,8826,8826,15041,15041,14353,14353,13822,13822,11772,11772,10803,10803
Vitry-sur-Seine,87545293,94400,B,2496968,2496968,4565282,4565282,4630398,4630398,4695475,4695475,4676851,4676851,4636524,4636524
Lourdes,87671339,65100,A,199322,249153,415327,519159,375349,469187,426612,533266,406686,508357,418492,523115
Voiron,87747287,38500,B,929129,1161411,1362221,1702776,1197133,1496416,1270062,1587578,1210485,1513107,1236354,1545443
Loures - Barbazan,87611178,65370,C,833,833,1329,1329,1101,1101,1235,1235,1296,1296,1389,1389
Voivres-lès-le-Mans,87396358,72210,C,8191,8191,22708,22708,25628,25628,24988,24988,24399,24399,22490,22490
Louroux-de-Bouble,87641050,3330,C,1987,1987,2647,2647,1573,1573,1693,1693,3188,3188,3372,3372
Voyenne,87297150,2250,C,8592,8592,8165,8165,6987,6987,3713,3713,5144,5144,6586,6586
Lozanne,87721423,69380,B,187167,233958,303063,378829,270352,337940,326687,408359,303163,378954,311082,388852
Vraincourt - Viéville,87143024,52310,C,1555,1555,3326,3326,4557,4557,6653,6653,8549,8549,7554,7554
Luçay-le-Mâle,87576363,36360,,12396,12396,12090,12090,12893,12893,14251,14251,15517,15517,15277,15277
Wallers,87343301,59135,C,10687,10687,25641,25641,29475,29475,32284,32284,27029,27029,25866,25866
Ludon-Médoc,87581181,33290,C,37832,37832,44365,44365,37270,37270,31621,31621,19439,19439,26090,26090
Wingen-sur-Moder,87213744,67290,B,90890,113613,121851,152314,128401,160501,130779,163474,129989,162486,131362,164203
Lutterbach,87182667,68460,C,39886,39886,49250,49250,45475,45475,47464,47464,51734,51734,65370,65370
Wisches,87214676,67130,B,79288,99110,88851,111064,91479,114349,100373,125466,103452,129315,112884,141105
Luzenac - Garanou,87611558,9250,C,5151,5151,9222,9222,8507,8507,10892,10892,9797,9797,9369,9369
Wissembourg,87213470,67160,B,149990,187487,206134,257667,194074,242593,200694,250868,187709,234636,194148,242686
Lycée Henri Sellier,87988717,93190,B,730480,730480,1335610,1335610,1332694,1332694,1338409,1338409,1316397,1316397,1288152,1288152
Ytrac,87645101,15130,C,17,17,49,49,26,26,25,25,34,34,2,2
Lyon Saint-Paul,87721159,69005,B,1099732,1374666,1592773,1990966,1434039,1792549,1461390,1826738,1298877,1623597,1186092,1482615
Zetting,87193649,57115,C,17810,17810,15244,15244,14705,14705,17152,17152,17306,17306,16874,16874
Machecoul,87481366,44270,C,54369,54369,79509,79509,66000,66000,68551,68551,61895,61895,48422,48422
Mâcon Loché TGV,87725705,71000,A,241155,301444,468049,585061,431203,539004,458195,572743,425545,531931,426960,533700
Magnac - Vicq,87592279,87380,C,13287,13287,13498,13498,13083,13083,12782,12782,11319,11319,14010,14010
Magnette,87641365,3260,C,937,937,2288,2288,4108,4108,4979,4979,4824,4824,2356,2356
Mailly-la-Ville,87683847,89270,C,3609,3609,5072,5072,3429,3429,2971,2971,2359,2359,2584,2584
Maizières-lès-Metz,87191106,57210,B,145265,181582,233235,291544,216656,270820,243032,303790,236360,295450,247054,308818
Malause,87611871,82200,C,0,0,0,0,162,162,432,432,794,794,1263,1263
Mantes-la-Jolie,87381509,78200,B,6274411,6274411,11473614,11473614,11017685,11017685,10662194,10662194,10174217,10174217,9474592,9474592
Marcelcave,87313445,80720,C,43568,43568,50551,50551,45126,45126,41982,41982,41023,41023,40878,40878
Marigny,87485334,79360,C,8587,8587,7067,7067,5830,5830,7726,7726,7893,7893,9236,9236
Marmande,87586545,47200,B,302288,377860,475299,594124,419848,524811,445085,556357,419885,524856,433512,541890
Marquette,87287169,59252,C,140,140,42,42,121,121,13,13,14,14,6,6
Maurois,87345546,59980,C,179,179,337,337,474,474,112,112,606,606,1118,1118
Mazamet,87615542,81200,C,40290,40290,55808,55808,48875,48875,61909,61909,58346,58346,60454,60454
Ménil Flin,87141390,54200,C,936,936,1094,1094,1567,1567,2643,2643,2072,2072,2019,2019
Mérens-les-Vals,87611525,9110,C,1401,1401,3473,3473,2318,2318,2514,2514,2448,2448,2236,2236
Méricourt - Ribemont,87313064,80340,C,35184,35184,39174,39174,35096,35096,32162,32162,30772,30772,29761,29761
Mervans,87713701,71310,C,6217,6217,9278,9278,7265,7265,7111,7111,6259,6259,7124,7124
Mesves - Bulcy,87696187,58400,C,3830,3830,3183,3183,3006,3006,3581,3581,4583,4583,5750,5750
Metz Nord,87192070,57000,C,25967,25967,35065,35065,30706,30706,30222,30222,24439,24439,17291,17291
