Nom de la gare,2020,2019,2018,2017,2016,2015
Haguenau,1316770,1734756,1646301,1662901,1573588,1594736
Halte de Fontanil  Lycée de Drap,18730,32827,31377,36186,29718,24618
Herbitzheim,57339,48572,49621,56582,57424,56514
Héricourt,123938,148273,124752,142341,138444,151785
Hermes - Berthecourt,85438,104436,99944,96687,97090,98430
Hochfelden,180350,231331,206165,218011,208774,210098
Hoffen,8548,11441,7030,6809,5683,6123
Hombourg-Haut,6757,10604,7687,9175,5873,4927
Homécourt,16708,30182,25483,31140,32861,28983
Hunspach,2822,3353,3248,2165,5130,6380
Huriel,6,26,24,112,150,120
Irigny Yvours,24067,16431,2,0,0,0
Is-sur-Tille,68254,137104,154136,174961,166581,173034
Issy-les-Moulineaux,1339549,2449700,2477283,2511813,2500733,2476163
Istres,27559,55373,54825,56917,59418,75367
Ivry-sur-Seine,2720129,4974218,4987697,5034584,4976350,4899522
Joué-lès-Tours,40648,59792,54472,58228,59882,64733
Juvisy-sur-Orge,21998701,40222510,43157732,42199755,40463299,38614086
La Barre Ormesson,1617889,2958201,2929551,2884526,2938751,2978869
La Bernerie-en-Retz,24445,30187,23817,22179,15663,8984
La Bonneville-sur-Iton,4318,5879,6705,10923,10024,8913
La Borne Blanche,95188,168264,175718,187219,192996,203215
La Brohinière,8610,12887,11065,14145,15866,17421
La Celle-Saint-Cloud,1143181,2090228,2080360,2077227,2036429,2006487
La Chapelle-sur-Loire,1519,1931,1791,1927,2174,2568
La Clayette - Baudemont,22176,26913,24523,21946,25456,29159
Ablon-sur-Seine,797009,1457253,1462108,1471462,1453063,1427319
La Ferté-Alais,215192,393534,420283,451160,474134,496233
Aéroport Charles de Gaulle 2 TGV,7665251,15227840,14907773,14649835,13534634,12976556
La Ferté-Bernard,152391,288558,286134,322483,329562,354288
Agay,15390,22284,15093,14154,19240,19121
La Frette - Montigny,472350,863960,875843,890871,888918,894694
Agde,394380,542288,588297,697091,660656,662516
La Guerche-sur-l'Aubois,32199,36367,28453,31303,29628,27400
Agonac,3271,2538,1492,1583,1134,1127
La Hume,94411,151361,125580,122964,119166,126981
Aiguebelle,62936,80418,76441,77759,69078,67365
La Hutte Coulombiers,8862,17621,14966,15499,13864,16714
Aimargues,3752,1034,445,230,159,86
La Loupe,319998,384503,350924,360154,359163,365054
Aix-les-Bains le Revard,988929,1515076,1287574,1370409,1295717,1299301
La Penne-sur-Huveaune,46980,68514,65286,75227,66088,53456
Albi,287025,415630,368147,432819,392651,412872
La Ricamarie,5261,10351,7720,9797,9443,11867
Alençon,232970,400220,370206,408691,393130,434601
La Rivière de Mansac,66,263,177,339,228,89
Allassac,15856,23411,18504,16670,14697,16854
La Souterraine,104126,190754,179872,200013,186234,194093
Alouette France,185309,303363,226428,206973,185087,191807
La Teste-de-Buch,256383,385974,336431,344846,321391,337360
Ambazac,25184,27893,25961,30597,31750,34127
La Verpillière,607146,937186,850344,832502,735227,750245
Amilly Ouerray,24910,26442,23309,23907,25333,23290
Lachaud Curmilhac,985,1425,2247,1263,903,879
Amplepuis,206265,317136,276412,317836,298064,289331
L'Aigle,99820,150610,134750,138322,136643,126755
Anché - Voulon,7457,9770,8847,9727,11143,13583
Laillé,10753,16302,14529,17846,23001,24140
Angers Maître cole,18317,23126,16070,12708,12663,16649
Lamballe,348871,493303,444534,440120,419407,415735
Arcachon,772522,1085934,907838,910395,792957,805161
Lamothe-Landerron,2176,2617,2429,2823,3331,3541
Arches,40349,64056,51087,53916,52117,58746
Lamothe-Montravel,4349,2920,3147,5069,6315,6628
Arenc Euroméditerranée,35506,56897,42045,19702,15652,20319
Lamotte-Beuvron,138915,190629,180962,187384,191277,202074
Argentan,175602,294691,274448,298107,291798,310239
Langogne,20007,28294,25211,30735,29672,26222
Arles,358566,690306,646535,715084,677260,688498
Lannion,157795,222479,192072,191738,175940,170323
Arnèke,87107,127818,120466,126380,124209,117986
Laragne-Montéglin,9031,17947,20265,24952,24148,24927
Artix,30597,42665,33858,40928,38017,41904
