Nom de la gare,2020,2019,2018,2017,2016,2015
Santeuil - Le Perchay,11092,20305,25450,32353,39950,39355
Saône,22035,30007,25591,29757,27234,30774
Sarliève - Cournon,22334,39848,31825,37747,32533,38706
Sarralbe,973,3224,3973,4341,3627,4459
Sarre-Union,121163,97674,106524,124516,129974,130544
Sartrouville,6358474,11625842,11680197,11795222,11687774,11523782
Saulon,9809,13891,10578,12828,12051,11223
Savonnières,1409,2262,2974,3422,3173,3017
Sceaux - Boëssé,4197,5483,7644,9495,8089,5511
Scherwiller,4409,6138,4055,5330,7292,6655
Schirmeck - La Broque,269442,298030,293816,316987,315384,321455
Schwindratzheim,56972,77435,80721,83536,74839,67383
Sées,41849,77199,77622,89164,85925,92300
Sénas,20405,30374,24934,20981,20299,19725
Sérézin-du-Rhône,150951,226973,185677,183926,174284,185564
Servoz,8238,9679,13163,12565,10376,11302
Seugy,35565,65028,56226,58733,56981,55410
Sevran - Livry,3167854,5792675,5902128,5982229,5973397,5932168
Sierentz,175095,291594,262395,256528,256706,251559
Siorac-en-Périgord,3943,7951,6216,6936,6222,6911
Solliès-Pont,46303,73277,60727,67826,55357,50325
Sotteville-lès-Rouen,9759,20331,15913,18935,17117,17261
Stephansfeld,23185,40172,37952,43225,40467,37920
Strasbourg Roethig,48454,75283,55108,57421,63798,61980
Survilliers - Fosses,1162017,2126297,2119565,2130542,2096114,2050303
Sury-le-Comtal,13371,21113,18364,20035,17312,21352
Tacoignières - Richebourg,106860,195739,193939,195215,190289,186160
Tantonville,2,9,150,425,397,391
Tarascon-sur-Ariège,26876,49041,41781,52028,47721,49294
Templeuve,451953,738654,675777,650435,583486,564443
Tessonnières,2381,2846,3185,4217,3946,4302
Thann Centre,34474,44953,32137,27435,24094,25570
Thézy-Glimont,10762,14525,12411,13471,15907,18617
Thiennes,1797,2785,2717,2154,2326,2180
Thieux - Nantouillet,13871,25362,22740,25483,22954,20529
Thiviers,75710,109391,100021,121456,117815,115606
Thouaré-sur-Loire,21021,34328,28424,26021,24234,28114
Thuès les Bains,416,271,425,363,297,354
Tiercé,54071,122747,144381,145093,145238,146906
Torfou-Sèvremoine,11924,12669,6395,9837,10326,7652
Touët-de-l'Escarène,2130,3107,2585,3027,2368,2019
Toulouse Matabiau,7616091,9892175,8712234,10309397,9539321,10010314
Tours,3152214,4962177,4690784,4876333,4641092,4755405
Trappes,2260658,4133446,4193129,4291263,4324488,4341910
Trilport,655289,1199192,1208595,1227870,1222022,1211959
Trith-Saint-Léger,8527,10673,11113,9167,9882,9793
Tronsanges,4133,4260,4389,5034,5006,4861
Troyes,674479,1008126,967315,1023685,969326,1001917
Turenne,297,324,504,587,425,400
Uchaud,2249,1696,1813,1729,1804,2275
Urt,3384,5912,2703,2326,1563,2153
Val de Fontenay,9676344,17693555,17739617,17900299,17683219,17396627
Val-de-Vesle,12758,12017,13331,15922,13592,13162
Valence,1359903,2143873,1809507,2094614,2051764,2120883
Valleroy - Moineville,3707,7166,5797,6264,7290,11184
Vallorcine,7531,12214,10627,8769,8698,8620
Valognes,142781,237486,217468,245017,237144,251567
Vanves - Malakoff,735901,1345635,1374446,1403674,1410456,1409674
Varades - Saint-Florent le Vieil,50557,90502,91923,97263,93008,89040
Varangéville - Saint-Nicolas,231914,302982,292272,292623,255131,253934
Varennes-sur-Fouzon,4499,3934,4331,3523,2660,2181
Vauboyen,129068,236149,231041,228105,220594,212014
Vaulry,0,229,150,23,38,115
Vendeuvre-sur-Barse,31182,44126,38423,38538,36815,43824
Vendôme - Villiers-sur-Loir TGV,282395,433234,418302,434632,425062,426558
Verdun,122580,136907,118817,129981,129927,137033
Verrey-sous-Salmaise,19592,19996,20264,24614,23721,25966
Versailles Rive Droite,3202186,5855418,5705373,5562438,5327810,5357929
Vert Galant,4230640,7736030,7925679,8132589,8195679,8215190
Veynes Dévoluy,39723,77042,78109,93145,88367,92178
Viarmes,155538,284407,279178,270098,267292,264164
Vic - Mireval,20507,15609,13338,16084,17870,15990
Vichy,832494,1309834,1193916,1295130,1218692,1265848
Vielmur-sur-Agout,16881,21524,18237,20724,21009,24362
Vignols - Saint-Solve,38,51,96,374,275,365
Villefranche-de-Rouergue,40134,66546,60264,72893,71022,69147
Villefranche-sur-Mer,242292,537737,411448,517403,401753,407823
Villefranque,360,14,12,39,26,280
Villenave-d'Ornon,7072,10500,8712,8779,8096,9619
Villeneuve-le-Roi,862118,1576299,1602239,1635284,1637092,1629780
Villeneuve-lès-Maguelone,13808,12476,10572,14115,11151,9789
Villeparisis - Mitry-le-Neuf,2553531,4668437,4567191,4475328,4306598,4124084
Villepinte,1451655,2654695,2575413,2495574,2374993,2254753
Villereversure,2323,4444,4119,5214,4098,5430
Vincelles,2504,4584,3004,4222,2495,2922
Vincey,16652,17932,17225,19685,21937,26350
Vire,50430,80187,71071,77151,75950,74891
Vireux-Molhain,45468,49956,47819,55273,55435,61673
Viroflay Rive Gauche,3080328,5633570,5330072,5067446,4726246,4389157
Vitrolles Aéroport Marseille Provence,371747,608933,570757,662865,651615,640000
Viviez - Decazeville,9416,14050,14083,18038,16694,18483
Vivonne,24729,34012,33548,37480,37010,43995
Watten - perlecques,82999,113082,96927,101732,95636,95658
Xeuilley,270,1154,1418,3770,4546,4643
Yerres,2475259,4525768,4349907,4207385,3990066,3764066
Ygos-Saint-Saturnin,24258,24844,26203,29843,27292,22433
Yvetot,687572,997167,902928,920117,909234,934997
Achiet-le-Grand,67305,97848,92323,96451,92084,92018
Aguilcourt - Variscourt,10436,8796,6155,7368,8979,9821
Aiguebelette-le-Lac,2921,4754,2535,3117,3912,4071
Aillevillers,8639,7348,4429,5594,5942,6932
Ailly-sur-Noye,93929,110710,99154,109757,109495,115038
Aix-en-Provence,189752,542347,769147,1106279,998093,1011615
Albertville,202236,310114,290751,336210,330624,358299
Alès,307874,433827,417520,461106,441259,418810
Allenc,182,235,198,132,116,123
Alleyras,949,1310,1013,812,598,510
Amagne - Lucquy,38365,52065,48163,47918,37854,40539
Amboise,380263,589710,556255,560417,513690,518284
Ancenis,623147,998815,926200,962972,892451,861331
Andrésy,243554,445551,499012,563440,623470,583871
Anse,284335,444151,397142,397242,365763,369752
Antibes,1369074,2440877,2105087,2220716,1953102,2016198
Anvin,412,811,2643,12147,18542,19182
Anzeling,1560,1591,1191,744,657,791
Arengosse,3870,4562,5591,5917,4859,4315
Argelès-sur-Mer,86560,117724,103492,126203,106538,125241
Arpajon,943812,1725668,1714853,1714359,1677901,1635441
Arras,2622169,4297088,4060559,4361839,4138307,4145669
Aspres-sur-Buëch,3410,8513,9306,11474,9597,10131
Assat,559,273,151,168,461,236
Aubergenville lisabethville,1039473,1900062,1801226,1723706,1612926,1502962
Aubie - Saint-Antoine,28303,39025,30075,25566,19924,16770
Aubin,4316,5717,5550,5790,5577,6528
Aubrives,9818,10424,9357,9767,9191,9739
Auch,151588,225670,191987,239210,217086,232730
Aumont-Aubrac,5641,8036,7100,7754,7178,7840
Auray,623457,887927,786183,829917,798576,790588
Aurec-sur-Loire,35557,69598,64270,51339,63844,70722
Auxonne,246666,298952,270708,284494,272128,269718
Avallon,30046,45473,36833,41444,36096,39727
Avenue Henri Martin,442557,809171,839928,874140,891938,906404
Avignonet-Lauragais,15673,20463,17746,26703,26652,28211
Avord,28256,35132,27513,28903,26383,26562
Avranches,13362,16899,16954,24311,23086,28911
Azay-sur-Cher,8865,13599,13004,13521,13090,12858
Azerailles,7448,10951,10053,11678,12881,15799
Bagnols - Chadenet,538,692,610,601,556,540
Balagny Saint-pin,6145,10295,10936,11831,11228,14172
Bartenheim,86048,143212,139801,145840,141588,140142
Baule,8932,16635,14919,12138,11273,11778
Béard,295,334,580,609,1304,2292
Beaulieu-sur-Mer,329716,580072,501699,541376,461285,452775
Belfort,775926,1124537,1006802,1146193,1059616,1159439
Bergues,125757,202757,178905,181696,170474,179040
Bertry,4525,8199,7001,5685,5869,6637
Beslé,15975,28946,24110,22423,20650,20567
Beuvrages,913,2320,1776,2968,2329,3170
Béziers,831286,1129019,1214111,1441893,1374338,1257794
Bièvres,233168,426162,444063,467275,481167,493181
Biganos Facture,658271,958484,853936,864473,771937,789981
Bischwiller,495341,656797,597882,578058,541035,560026
Blanquefort,100168,159082,112764,103648,98420,116395
Boisseaux,5241,7250,7042,6416,5823,5618
Boissise-le-Roi,70658,129195,129907,132082,131326,130124
Bonneval,28093,42944,35211,37827,36828,43229
Bonnières-sur-Seine,348167,636589,665715,713057,749898,789125
Bons-en-Chablais,90360,104878,93004,120032,105884,101953
Boucau,5206,8764,6848,6094,5767,7913
Bouffémont - Moisselles,581931,1064575,1078777,1036366,1000990,962706
Boulainvilliers,1712070,3130349,3290898,3484634,3615337,3728741
Boulouris sur Mer,13038,19593,11894,15423,22844,25803
Bourg-Bruche,8323,7947,7918,8579,8146,8569
Bourg-en-Bresse,1214094,1770487,1662833,1814080,1728014,1784643
Bourg-Madame,2767,4528,4557,4874,5349,7061
Boussay - La Bruffière,11096,13195,14045,18605,16363,17921
Boussy-Saint-Antoine,1907204,3487143,3585833,3677684,3712941,3725311
Brax - Léguevin,148043,174997,191089,227273,239714,265796
Brazey-en-Plaine,28595,36997,36959,43808,43048,43147
Breteil,59860,87850,78865,80861,86106,81703
Bréval,177277,324134,339493,361155,375428,387979
Briançon,99791,156681,142121,169834,183132,183995
Brignac,64,98,65,251,163,72
Brignais,199126,317178,274629,272465,238108,204936
Brion - Laizy,6147,4426,4329,4415,4523,5350
Brionne,10420,13096,9516,10354,8257,8258
Briouze,24431,37420,34356,35494,34775,32692
Broons,28626,36462,31064,24009,20214,21995
Bruges,26358,51176,34218,29204,20215,26452
Brumath,423151,619310,563815,565974,522294,492583
Brunémont,1376,3148,3269,3335,3496,4370
Bruyères,42714,50987,68676,68352,64305,62840
Buire-sur-l'Ancre,2843,2990,2632,3036,2704,2244
Caen,1959000,3173011,2835925,3191694,3070891,3256254
Cagnes-sur-Mer,747076,1343669,1180596,1264538,1022116,982487
Cahors,263846,331604,299131,355110,348633,358654
Calonne-Ricouart,9333,54456,57276,65520,72788,70921
Cannes La Bocca,104403,212472,217673,349434,195274,191768
Cantin,18436,46429,42550,45486,40890,44067
Carcassonne,565381,775306,693148,844291,786810,768690
Carignan,10707,20213,20816,24363,28893,31371
Cassis,204879,294183,256460,271895,238249,226893
Castelnau-d'Estrétefonds,208341,229548,201012,235142,223630,207877
Castelsarrasin,61749,76508,68087,82548,84572,86276
Ceilhes - Roqueredonde,674,359,2287,5297,5741,6476
Cerizay,465,535,483,315,322,474
Cernay (Haut-Rhin),351266,400877,372890,391782,396767,419394
Cesson,1141753,2087642,2141123,2215556,2243095,2259694
Cesson-Sévigné,97045,145459,119278,117985,124095,129342
Chabris,21125,24538,21423,19859,16300,14791
Chagny,295045,325664,314142,369020,351985,371474
Chaingy Fourneaux Plage,8992,14271,11820,11992,9896,10526
Chalonnes-sur-Loire,98379,176200,181722,202158,197908,203677
Chamalières-sur-Loire,969,1866,1606,1245,1671,1652
Chambéry - Challes-les-Eaux,2466954,3701807,3447007,3781533,3624235,3782600
Chambly,461738,674357,622939,716218,703547,650655
Chamborigaud,4899,6555,4313,5158,5442,5384
Champ de Mars Tour Eiffel,4346550,7947231,8715423,9575471,10321323,11088743
Champagney,52119,52227,44324,46864,43374,43545
Champbenoist - Poigny,120625,220552,215765,211940,204274,196027
Champigneulles,12645,14994,11239,9340,13210,18940
Champigny sur Yonne,57749,80015,53895,58963,58208,63772
Champtocé-sur-Loire,23453,37933,38102,32871,27185,28233
Charbonnières-les-Bains,182340,252754,241958,253010,235456,226585
Chartres,1994683,2732020,2572719,2645649,2669475,2800668
Chasseneuil-du-Poitou,8414,13325,11034,10107,9360,9702
Châteaubourg,358738,465229,417333,419143,401892,390234
Châteauneuf-sur-Cher,7441,10472,9070,11801,11263,13422
Château-Renault,52114,68702,58237,57896,61802,66646
Châtel - Nomexy,105365,126310,108573,115421,112266,118293
Châtelaudren - Plouagat,9087,11356,10169,11001,10492,8646
Chaugey,10429,9833,9327,15049,13434,14777
Chessy,10315,19161,19730,20849,27764,26779
Chilly-Mazarin,561647,1027095,1025321,1033197,1018999,998852
Chirac,59,22,15,25,15,87
Chocques,3389,5799,4462,5183,6643,6723
Choisy-le-Roi,7241618,13240339,13621599,14029876,14178267,14267343
Cinq-Mars-la-Pile,81152,113762,106829,98350,92624,92784
Ciry-le-Noble,3661,3715,1992,2696,2001,1470
Civrieux-d'Azergues,4584,6347,6617,8588,5739,5073
Clelles - Mens,16136,22305,21559,25611,23126,24319
Clermont La Rotonde,8170,11686,10461,13209,14959,18103
Clermont-en-Argonne,91,116,28,378,309,197
Coarraze - Nay,26993,33712,23642,31709,31169,31465
Collonges-lès-Premières,28857,28509,26571,25943,29001,27526
Colroy - Lubine,23,15,18,140,587,247
Combs-la-Ville - Quincy,2106559,3851637,4008207,4197319,4308161,4396308
Compiègne,1495127,2277888,2164053,2313592,2277907,2316129
Conlie,33225,64332,68836,65237,63380,63827
Contrexéville,18447,25390,26665,30915,37162,43759
Corbie,273972,362926,347950,350076,351568,364008
Cordemais,21478,36473,31510,29016,28563,29540
Corps-Nuds,3307,3533,4004,6702,38817,62696
Corseul - Languenan,1489,2584,1464,2153,1856,1326
Couffoulens - Leuc,1613,368,33,255,571,709
Courcelles-le-Comte,703,102,94,396,816,1126
Courthézon,16297,25599,21910,29997,30388,26800
Couze,24,122,151,1010,784,1459
Cransac,2310,3204,3123,3594,3520,3690
Cravant - Bazarnes,5318,8539,7305,8550,7629,12819
Crêches-sur-Saône,16541,27490,24107,25708,22115,19655
Crépy - Couvron,2223,2684,1993,1738,3029,4094
Créteil Pompadour,4245904,7763379,7588995,7375710,7064928,6748141
Croix du Prince,4705,6884,4622,3975,4777,3665
Croix Sainte,1310,3310,3693,5115,4388,3970
Crouy,376,1011,596,327,183,457
Dambach-la-Ville,29978,39069,29842,33397,37955,36828
Danjoutin,948,1924,87,0,0,0
Delle,17348,25996,1250,0,0,0
Dol-de-Bretagne,295448,427379,380495,404127,379307,394141
Domfront-en-Champagne,4380,11171,13210,13090,13321,12836
Dompierre-sur-Helpe,1396,3175,3117,3163,2891,3146
Donges,7839,10787,9064,8324,9446,10613
Donjeux,3815,3588,4064,6276,5965,5536
Donzère,16156,27825,20780,23808,19937,20729
Dorlisheim,71117,111005,110311,107814,94877,89146
Dormans,95970,129483,112898,110303,107441,112969
Douzillac,0,0,0,515,1425,1234
Drap - Cantaron,23792,46557,35806,37112,34709,28312
Drusenheim,86913,124088,113943,112821,111854,114014
Dunkerque,1241973,1931759,1663300,1756974,1681344,1753890
bersviller,3283,3285,4915,5546,5552,7297
commoy,38701,91331,109312,112643,108386,109245
couché,285,528,202,641,825,919
Ecully - Tassin,189080,223872,203523,209028,183039,150903
Elbeuf - Saint-Aubin,145887,250325,206850,207415,203369,232776
Embrun,60362,109995,99029,121268,127417,141516
pinay - Villetaneuse,7045846,12886698,12778657,11399541,10968351,11527615
pinay-sur-Orge,1481071,2707994,2779352,2860910,2889983,2902925
Ermont - Eaubonne,12380423,22636877,23060542,22292293,21209815,21275454
Ermont Halte,566794,1036432,1022305,959969,939831,914634
tainhus - Saint-Romain,42897,63166,51343,53959,55746,62116
taples - Le Touquet,268566,388912,354757,377338,358759,389755
Faremoutiers - Pommeuse,147640,269998,270856,273058,269543,265345
Fenouillet - Saint-Alban,14,22,7,42,64,1094
Feuquières - Broquiers,14701,12362,13619,17337,20207,22632
Flers,77154,126812,118812,126503,125648,121625
Fleurville - Pont-de-Vaux,11707,14190,14616,16709,15186,16776
Flez-Cuzy - Tannay,668,1356,1032,989,895,810
Foëcy,21722,27253,25818,25935,22704,24726
Fontainebleau - Avon,2115327,3867663,3985604,4105860,4145407,4182635
Fontaines-d'Ozillac,0,89,93,82,61,80
Fontan - Saorge,2583,5109,4716,7217,5247,4650
Fontenoy-sur-Moselle,2672,2864,2500,2502,2641,3364
Font-Romeu-Odeillo-Via,40745,47484,44814,52883,52547,45205
Fos-sur-Mer,2941,7260,7327,10945,9978,11643
Foucart - Alvimare,2059,7306,7041,7967,9040,11906
Fouday,8789,10791,11128,12098,11868,14159
Foug,6301,7974,7761,9859,10024,10217
Frasne,133728,208176,154920,172159,167460,166428
Fréjus,103420,181707,188070,197430,138804,134173
Frépillon,193459,353741,359839,349908,332173,314068
Frontenex,17745,33797,24340,30272,31855,30446
Frynaudour,208,625,695,165,159,607
Gadagne,4237,9321,8514,9396,8920,10342
Gaillac,230110,263296,204085,241299,224255,231166
Gallargues-le-Montueux,8776,7596,6312,6156,5696,5207
Gambsheim,154129,194564,179292,180800,166992,160531
Gandrange - Amnéville,1646,3235,2456,3584,6408,10354
Gare routière de Digne les Bains,3886,11213,12814,14709,15039,16217
Gare routière de La-Voulte-sur-Rhône,747,601,956,1029,2023,2053
Gargan,1723165,3150620,3233856,3297972,3299886,3304052
Gargenville,194290,355165,346907,339962,327223,323122
Gazeran,157079,287054,284182,285161,278919,271971
Gazinet Cestas,242484,367353,322331,313616,289099,302291
Geispolsheim,36750,61437,60392,69625,92680,87532
Gièvres,46244,56134,49554,53522,55532,53581
Gironde-sur-Dropt,3107,3176,1725,2468,3028,2968
Givet,65458,81721,79315,89898,92403,102220
Givors Canal,56247,70452,51491,43170,29708,28052
Goussainville,2859060,5227952,5196033,5171933,5045910,4912463
Goxwiller,19059,28766,30005,33214,32784,30676
Gragnague,16440,18618,13357,13242,13393,11090
Gramat,10952,12369,12205,14971,16179,16898
Grande-Synthe,7703,6507,8124,7131,5090,3812
Grasse,167249,340736,260180,101176,276380,300028
Gravigny Balizy,267679,489424,507730,530728,543295,553195
Grenoble Universités - Gières,441245,715477,618398,669715,599039,606585
Gresswiller,127933,169033,151955,155246,150002,142270
Guignicourt,120804,120287,122047,137618,131831,126347
Habsheim,161472,245909,227801,228017,221431,225468
Hachette,11,8,2,5,5,6
Halsou - Larressore,1462,223,7,28,15,13
Ham,94874,128871,122867,129850,123586,132877
Ham-en-Artois,2413,2454,3036,3193,3738,4195
Harfleur,3338,4761,4029,4578,5481,6840
Haussmann Saint-Lazare,26081433,47687285,47907489,48184682,47606238,46771387
Haute Picardie TGV,197582,375044,376257,408708,365688,369361
Hénin-Beaumont,340543,550540,516610,525421,489436,496665
Herrlisheim-près-Colmar,46806,51225,51605,56497,53434,47744
Hesdigneul-lès-Boulogne,23801,30185,25969,27056,26452,28132
Hirson coles,32721,28484,38649,51563,57945,58573
Hoelschloch,15442,20638,18341,18232,21663,20874
Hoerdt,159685,209979,198952,198378,197849,197043
Hombourg-Budange,440,829,907,507,629,1212
Houdemont,6841,7963,6689,5519,4059,5255
Houilles - Carrières-sur-Seine,8495680,15533521,15190406,14909464,14383250,13827319
Hymont - Mattaincourt,761,1058,928,695,1496,1537
Igney,12451,14274,9033,8477,11250,11153
Ille-sur-Têt,3518,1152,677,2075,2156,2307
Ingrandes-Le Fresne-sur-Loire,37354,60098,56089,62191,66843,69883
Issé,14172,20099,19694,24814,21193,21166
Issoire,361776,504733,424410,468302,437837,455912
Issy Val de Seine,3184446,5823421,5933850,6140140,6198775,6228280
Jarnac,22155,39286,34251,42313,43861,43809
Jaunay-Clan,16113,26591,24999,29059,28974,27393
Jaux,5339,9771,10167,11773,11966,13886
Jeumont,62713,92964,73200,72038,69142,75639
Joncherey,4860,3429,120,0,0,0
Jonzac,63126,115737,99371,103420,97593,103847
Jouy-en-Josas,453849,829498,833186,844660,840393,829490
Juziers,162386,296880,281817,268597,251359,252094
Kédange,2221,4238,3893,3961,4842,6435
Kilstett,69558,96880,95551,94006,91727,96973
Kogenheim,22068,28436,24598,26817,29731,31420
Kurtzenhouse,66860,101037,94148,97670,96678,103240
La Bassée - Violaines,194161,271533,254644,275219,262023,241266
La Baule Les Pins,23454,28368,21261,18698,13785,15448
La Bourboule,6258,9000,8185,9428,8857,10913
La Bouteille,2878,3202,4266,5251,5950,5906
La Brillanne - Oraison,12069,29036,36763,49826,44506,41003
La Chaussée-Saint-Victor,897,2175,2513,2145,1395,1940
La Coquille,10395,16363,17110,20906,20871,20926
La Crau,40643,64283,56357,61266,44179,15687
La Ferté-sous-Jouarre,955765,1747522,1804600,1904385,1959154,1994958
La Gorp,73619,106126,74664,53238,37327,29584
La Grande-Paroisse,36281,66342,66702,65992,64845,63652
La Grave d'Ambarès,16470,15736,14632,15121,16509,16367
La Guierche,10322,25208,30191,32061,32008,30243
La Hisse,1385,835,1753,2416,1964,1908
La Levade,448,1020,676,521,445,349
La Méaugon,803,672,141,9,7,45
La Mothe-Saint-Héray,2267,3355,1888,2481,2661,2827
La Pauline Hyères,85658,119168,96754,103908,82731,78343
La Réole,149559,216950,195791,205696,196201,197320
La Rochelle Porte Dauphine,54398,71943,69109,92158,81938,84310
La Roche-sur-Yon,571734,882383,847396,900931,874411,905764
La Suze-sur-Sarthe,61010,125553,134033,148530,152272,151550
La Trinité Victor,29036,61038,55930,60792,49911,43333
Labouheyre,51758,73331,61925,59972,49775,50611
Laigné - Saint-Gervais,11899,37997,45629,48473,50839,46203
Laigneville,119811,173402,151192,161203,151624,141565
L'Aiguille,1852,3261,2746,4685,5854,5492
Lalande glise,0,0,0,1,0,411
Lalbenque - Fontanes,12762,8564,5380,7844,7333,7450
Lancey,107318,170748,139352,140043,123117,124771
Landas,46040,63157,54818,57432,48366,45176
Landaul - Mendon,21482,28627,20218,18404,17618,17177
Langeais,149632,216141,212658,206711,190662,191515
Langres,46127,81529,76980,83598,85182,90181
Laon,525446,692050,677171,772982,781255,809221
Lapeyrouse,3137,5658,4130,3908,3790,4359
Laroche - Migennes,232343,363126,340741,395315,394268,408478
Latour-de-Carol - Enveitg,37219,56705,47425,49671,48806,51611
Lavaveix-les-Mines,23,93,92,198,404,1094
Le Blanc-Mesnil,2216337,4052899,4006261,3953284,3823291,3698307
Le Bourget,8500671,15544841,14912785,14285674,13441953,12609210
Le Bousquet-d'Orb,663,1053,965,666,845,1279
Le Bruel,9,2,2,448,133,1
Le Cailar,3148,1551,833,467,598,234
Le Cateau-Cambrésis,25360,27490,21113,23327,23445,26810
Le Cendre - Orcet,105780,132210,118959,140509,135909,144876
Le Creusot,99609,137249,120327,122029,110612,112815
Le Genest-Saint-Isle,13634,33964,48174,48536,49447,49794
Le Grand-Lemps,80000,103290,91910,87471,84438,90125
Le Havre Graville,512,993,1484,1160,660,655
Le Méridien La Ferrière,124412,155019,148699,150003,135763,124009
Le Merlerault,17,726,521,483,593,573
Le Monastier-Pin-Moriès,235,94,329,324,357,531
Le Plessis-Belleville,378693,685068,615627,622553,521190,490294
Le Pouliguen,60000,87996,70391,73484,67304,59068
Le Raincy - Villemomble - Montfermeil,5204239,9515448,9505714,9472141,9284783,9054018
Le Soler,1320,17,767,2317,2229,3056
Le Theil-de-Bretagne,12032,12541,15678,16854,25002,29396
Le Val d'Or,941461,1722096,1695453,1675790,1629247,1324800
Le Verdon-sur-Mer,7964,10343,6925,7200,5150,7548
Le Vernet d'Ariège,4596,9502,8373,12628,14491,12612
Les Abrets - Fitilieu,2818,5284,4893,4302,4259,5059
Les Bossons,4024,4044,4767,5833,6247,6857
Les Cabannes,2726,7119,6572,7084,6100,6548
Les Flachères,1875,1859,1432,2175,1560,1893
Leval,2544,3422,2959,2184,1752,1661
Lexos,6112,8511,6027,7007,5923,5148
Lezennes,532,1207,1274,1447,1466,1311
Lezoux,58553,85008,74855,80947,82637,85063
L'Herbergement - Les Brouzils,64010,97831,90305,89563,82761,73687
L'Hospitalet-près-l'Andorre,6753,12852,14734,18765,20230,21743
Liancourt - Rantigny,183338,290944,274179,295252,282746,276860
Liancourt-Saint-Pierre,14353,23845,25428,31326,30593,30159
Libercourt,550226,839687,771411,784942,764323,784994
Lillers,124271,199562,210324,252496,254422,270760
Limoges Montjovis,11896,18657,13720,19482,18413,18741
Lingolsheim,51849,69740,61627,63737,78643,78967
L'Isle-Adam - Parmain,507445,927670,901306,892500,871379,849272
Lisle-sur-Tarn,61130,75711,64558,83085,78875,75961
Livron-sur-Drôme,41665,61938,48642,54515,45918,45386
Loivre,31268,26527,27644,32324,30161,30100
Longjumeau,262627,480402,504031,532378,552047,568054
Longueville-sur-Scie,21705,29584,24211,25154,20924,21388
Loos lez Lille,24225,40088,28581,29733,27143,28504
Loos-en-Gohelle,7080,18290,13253,13300,10081,9863
Louhans,19482,31418,26942,28890,24194,28046
Louveciennes,555213,1015247,1001155,993261,965641,949312
Louvres,1232733,2253078,2235303,2232729,2183957,2127635
Louvroil,2513,4365,3192,3810,4065,4706
Luc,370,437,228,392,195,113
Lucé,12514,20486,23380,25277,23957,25563
Luc-en-Diois,5810,8242,6384,7456,6251,5830
Luçon,26261,54757,55019,61294,60513,66527
Lunel-Viel,4838,5517,4499,6012,7438,9316
Lunery,506,678,324,304,688,783
Luzarches,273474,500028,499525,496949,419434,353586
Luzy,18613,28921,25180,29424,26487,24750
Lyon Gorge de Loup,456395,698192,646409,669745,567666,519710
Lyon Jean Macé,817489,1181281,857555,775892,634720,590918
Lyon Saint-Exupéry TGV,1117690,2392925,1781211,1490050,1245992,1241650
Lyon Vaise,510839,882406,568689,629793,554416,570010
Magny - Blandainville,3076,4625,4639,2665,2565,1987
Maillé,14529,23699,20413,20861,19398,19791
Maisse,91378,167203,180378,195208,207032,219092
Malaunay - Le Houlme,58505,90023,80870,88424,92259,94757
Marienthal,41225,64140,63047,63044,69455,70414
Marolles-en-Hurepoix,788333,1441406,1404670,1389667,1341273,1287884
Marquise - Rinxent,105312,137867,139133,160432,154999,170801
Marquixanes,659,589,385,578,595,567
Marsac,3458,6328,3445,5327,4472,4083
Marssac-sur-Tarn,6516,9832,6951,9707,8646,8842
Martigné-Ferchaud,2406,2684,3874,6338,13698,18431
Martigny-les-Bains,5565,6953,10896,11297,11700,13316
Massy - Verrières,180706,330403,322527,316810,304743,292092
Massy TGV,1371156,2214961,2397978,3049726,1984315,1695281
Matzenheim,32291,35607,30896,33544,32394,32089
Mauzac-et-Grand-Castang,169,335,391,947,1095,1639
Mehun-sur-Yèvre,29672,46896,45373,51129,50612,62482
Menars,32,58,317,119,100,131
Mende,23418,26910,26699,26957,28816,27755
Mennecy,528048,965477,1026207,1095707,1146510,1194181
Meroux,19146,33018,1385,0,0,0
Merrey,0,1,4,75,172,251
Mertzwiller,86344,104121,88847,83684,80337,74110
Merxheim,41381,56389,53512,51771,48339,49348
Messein,13747,14096,15265,13950,13975,14539
Metz,4687126,7600267,7035904,7327159,6999919,7121214
Metzeral,45391,54194,62744,65992,65268,66614
Meudon Val Fleury,1582980,2893671,2940191,2996579,2998119,2982684
Miraumont,12158,20130,19214,19506,17402,17180
Mirecourt,94684,119770,119366,136908,151786,153531
Miribel,193554,305842,274363,284847,270932,283043
Moissac,63551,77068,66280,83915,83344,81273
Monaco-Monte-Carlo,4085871,7534138,6302802,6588940,5730408,5848796
Montaignac-Saint-Hippolyte,1507,1082,773,992,1050,759
Montataire,25650,42097,32123,33684,32742,26930
Montceau-les-Mines,66643,71447,53885,54713,50722,56742
Mont-Dore,5245,7204,6882,6797,7479,11683
Montélimar,551860,893457,811493,923921,901956,951008
Montfavet,13386,24245,23635,23364,20494,21094
Montferrand - Thoraise,2317,2778,2320,2582,2479,2296
Monthermé,103013,95726,104713,119705,124549,134145
Montlaur,2656,3826,2600,3700,3845,3554
Montlouis-sur-Loire,14161,20874,19364,20668,21990,21804
Mont-Notre-Dame,0,1169,1969,3223,5014,6746
Montpellier Saint-Roch,4220874,6393777,7123630,8667721,8131336,8013271
Montrabé,34704,40745,36713,47958,44147,47262
Montreuil,1217688,2226698,2204405,2192249,2137642,2248554
Montreux-Vieux,56853,80973,77246,80588,69764,67143
